bedrooms,bathrooms,area_sqft,balconies,floor,location_rating,age_years,furnishing,parking_spaces,distance_to_city_center_km,rent_price
4,2.0,820.0,1,17,1,27,0,0,12.95476661,45.62263189
5,2.0,406.0,0,13,3,9,0,1,21.12859942,51.62756296
3,3.0,1948.0,1,13,4,20,1,2,20.03832367,90.34357657
5,1.0,2733.0,2,7,5,7,0,0,10.91133171,108.1077631
5,3.0,1070.0,1,9,5,9,1,1,24.42891222,75.92327405
2,1.0,2836.0,1,18,1,20,0,2,15.08579912,78.95118022
3,1.0,815.0,1,1,3,16,1,2,24.12748321,43.67016797
3,3.0,1406.0,0,13,4,4,0,2,18.26233565,60.48530213
3,1.0,2136.0,2,8,2,12,0,1,10.78122276,65.39654247
5,2.0,827.0,0,9,2,20,1,2,6.610681859,58.90258373
4,2.0,733.0,2,1,5,20,1,0,12.16981092,61.63504451
3,1.0,2719.0,0,9,4,27,1,1,23.46515674,89.65116061
5,2.0,2766.0,1,11,2,18,1,2,4.125444274,103.0721451
2,3.0,926.0,2,4,1,11,0,1,12.04760631,50.3076591
4,2.0,1595.0,1,16,4,11,0,0,9.325146863,81.06493693
2,1.0,2153.0,2,14,5,24,1,2,21.81456349,81.6557867
4,3.0,2072.0,2,18,3,20,0,1,20.29739453,88.80188745
5,2.0,2768.0,0,9,1,27,1,1,14.25131913,93.07115771
1,3.0,1955.0,0,1,1,1,0,0,10.96163579,63.15558223
4,1.0,2428.0,1,3,4,20,1,0,17.42032451,87.66889239
2,2.0,2054.0,1,1,3,8,1,1,23.87397665,79.88564784
5,3.0,853.0,2,3,1,29,0,2,3.427878571,59.14461596
4,3.0,1145.0,2,14,3,23,0,2,22.57185859,65.38049614
1,2.0,2303.0,0,14,5,21,0,1,8.061531842,70.56020406
1,3.0,1328.0,0,13,1,24,1,0,1.101203492,49.53923298
3,3.0,1247.0,0,1,2,22,0,2,18.78404516,50.42181936
3,1.0,1267.0,0,15,5,1,0,2,19.92220054,56.32758813
2,1.0,1173.0,0,7,5,29,1,0,8.314211178,54.68809737
4,1.0,2530.0,2,16,1,0,0,0,19.6827331,73.64817575
4,1.0,942.0,2,1,2,13,1,0,20.15244151,52.88011926
3,1.0,721.0,1,15,3,12,0,1,17.20729376,53.24110624
4,1.0,1185.0,2,15,2,2,1,1,1.927371542,67.60359375
4,2.0,939.0,0,19,5,26,1,1,17.01804612,75.06179471
1,1.0,2699.0,2,6,1,19,0,0,23.37773985,63.37641876
3,3.0,2188.0,2,6,2,24,0,1,15.88756504,76.92650192
5,2.0,848.0,2,1,2,4,0,0,9.806163102,53.91696544
3,3.0,889.0,1,16,5,1,1,1,14.5235558,59.79069403
5,1.0,2305.0,1,18,3,25,0,1,24.83550141,84.09515975
1,1.0,863.0,2,13,2,20,1,2,12.34197126,39.55466551
2,3.0,713.0,2,12,2,28,0,0,21.19721676,47.77435517
4,3.0,2355.0,0,18,4,17,1,2,4.32482159,97.69387207
1,3.0,784.0,1,10,5,8,0,0,2.355541694,35.70018499
4,2.0,694.0,0,14,4,21,0,1,10.36354802,49.62357653
2,1.0,1638.0,0,11,5,27,0,1,4.30654195,59.02019719
2,3.0,1161.0,2,18,5,27,1,1,8.932660688,57.89647426
1,1.0,1498.0,2,12,4,11,1,0,18.17026771,54.14363425
2,3.0,2791.0,2,17,3,4,1,0,11.69171093,97.38663763
5,1.0,2137.0,0,3,3,17,1,1,8.709142083,84.03272807
2,2.0,2589.0,0,1,5,22,0,2,22.3960941,88.510593
4,1.0,1622.0,0,1,4,22,1,1,1.226291809,74.84622121
4,3.0,2342.0,2,6,2,1,0,1,20.53668033,89.36827534
4,1.0,2853.0,2,19,5,9,0,1,15.91045099,88.86407293
4,2.0,627.0,2,4,5,21,1,1,2.11493705,63.87909348
5,2.0,810.0,0,13,1,9,0,2,1.819698696,48.70758221
3,1.0,1090.0,0,12,3,25,0,2,5.125614511,56.28024545
1,3.0,1277.0,1,8,4,2,0,2,24.45774095,48.13511576
4,2.0,1186.0,2,7,2,23,0,0,3.057014011,63.19385383
2,2.0,2509.0,0,7,2,13,0,1,18.73253818,74.1985237
4,1.0,1750.0,1,7,5,4,1,0,10.63821177,81.65829962
2,2.0,2139.0,0,14,2,23,1,1,6.67949568,73.42226086
2,2.0,2386.0,0,18,2,22,1,2,14.80010788,68.87291213
4,3.0,1278.0,2,19,5,29,0,1,9.836507451,75.78150196
5,3.0,2007.0,1,19,3,12,0,2,8.444374792,85.19066865
2,3.0,2013.0,0,18,1,26,1,1,6.750934531,77.90691238
2,1.0,,1,6,3,23,0,1,11.98761628,81.94133995
4,2.0,470.0,1,16,3,27,1,2,5.070519654,56.89637171
2,1.0,2710.0,2,3,1,16,0,1,21.44674438,70.33943831
2,2.0,705.0,1,2,5,5,0,2,15.20182603,49.89240749
4,2.0,1161.0,2,15,3,28,1,2,2.509155765,69.9867712
4,2.0,987.0,2,11,4,28,0,1,11.96904568,65.00635064
1,3.0,2521.0,2,19,4,26,0,2,16.11016845,83.76266443
5,1.0,2589.0,1,18,1,12,1,0,21.67865236,95.82310486
5,1.0,2008.0,0,11,4,28,1,0,1.563511688,83.41706686
2,2.0,501.0,2,3,5,11,1,1,11.95061026,48.64830553
5,1.0,2029.0,0,4,2,2,1,2,17.94018133,79.67249595
2,3.0,2004.0,1,6,5,29,1,0,5.707067927,85.0851207
1,1.0,592.0,0,12,1,15,1,0,6.312301146,28.76651271
4,2.0,1485.0,0,4,2,4,0,2,12.75217031,60.10912186
4,3.0,2857.0,2,12,4,1,0,0,22.22787115,98.53527579
4,3.0,699.0,2,4,3,10,1,0,10.55851082,60.37425781
5,2.0,853.0,2,2,4,3,0,1,12.62767422,60.80960845
1,1.0,1018.0,1,12,5,21,0,1,16.25819822,39.68797666
5,2.0,1036.0,0,13,5,0,1,2,8.458828646,74.64670149
5,1.0,2748.0,1,16,1,12,0,2,21.81006358,87.54883285
1,1.0,1178.0,1,4,3,17,0,0,24.08462935,38.26826698
1,3.0,1879.0,1,8,3,15,0,1,16.60737698,60.96332039
1,2.0,2649.0,1,5,2,1,1,2,16.32342849,84.95820975
1,3.0,2749.0,2,14,2,8,0,0,17.16521875,69.66563224
4,2.0,2444.0,0,15,5,26,1,1,5.653529206,98.44747727
3,2.0,2047.0,2,11,1,11,1,2,18.57693829,81.38781827
3,3.0,736.0,2,10,5,4,0,1,9.327455963,55.26511948
1,2.0,2479.0,1,10,3,4,0,0,24.84046398,75.86992936
3,2.0,2394.0,2,6,3,21,1,0,19.05202384,77.89483789
3,1.0,2407.0,0,16,5,12,1,0,15.01039704,79.17518141
1,2.0,2182.0,1,4,3,15,1,1,22.89365501,71.54510614
3,2.0,1471.0,2,9,2,25,0,2,24.28096524,54.0111432
5,3.0,2431.0,1,10,3,18,1,2,20.63378792,103.7219607
2,3.0,1673.0,0,5,2,8,1,0,19.15833413,69.26901696
2,,1649.0,1,10,4,15,1,0,2.455762322,78.00181383
1,1.0,1695.0,2,16,1,18,1,0,17.94438433,55.40834609
4,1.0,727.0,2,11,1,3,1,0,9.058113299,46.71652188
1,3.0,1196.0,0,6,3,27,0,1,23.31790946,52.5212399
4,2.0,1603.0,0,7,1,14,0,0,15.68231602,62.51642515
2,2.0,1064.0,1,12,4,8,0,0,9.895683036,44.70571907
